,countryCode,countryName,createDate,data,elevation,latitude,longitude,measuredDate,mosquitohabitatmapperAbdomenCloseupPhotoUrls,mosquitohabitatmapperBreedingGroundEliminated,mosquitohabitatmapperComments,mosquitohabitatmapperDataSource,mosquitohabitatmapperExtraData,mosquitohabitatmapperGenus,mosquitohabitatmapperLarvaFullBodyPhotoUrls,mosquitohabitatmapperLarvaeCount,mosquitohabitatmapperLastIdentifyStage,mosquitohabitatmapperMeasuredAt,mosquitohabitatmapperMeasurementElevation,mosquitohabitatmapperMeasurementLatitude,mosquitohabitatmapperMeasurementLongitude,mosquitohabitatmapperMosquitoAdults,mosquitohabitatmapperMosquitoEggCount,mosquitohabitatmapperMosquitoEggs,mosquitohabitatmapperMosquitoHabitatMapperId,mosquitohabitatmapperMosquitoPupae,mosquitohabitatmapperSpecies,mosquitohabitatmapperUserid,mosquitohabitatmapperWaterSource,mosquitohabitatmapperWaterSourcePhotoUrls,mosquitohabitatmapperWaterSourceType,organizationId,organizationName,pid,protocol,publishDate,siteId,siteName,updateDate
0,,,2020-07-20T19:20:09,"{'mosquitohabitatmapperBreedingGroundEliminated': True, 'mosquitohabitatmapperExtraData': None, 'mosquitohabitatmapperAbdomenCloseupPhotoUrls': None, 'mosquitohabitatmapperMeasuredAt': '2020-06-24T18:10:00', 'mosquitohabitatmapperMeasurementElevation': 0, 'mosquitohabitatmapperUserid': 67207102, 'mosquitohabitatmapperLarvaeCount': None, 'mosquitohabitatmapperMosquitoEggs': None, 'mosquitohabitatmapperMosquitoEggCount': None, 'mosquitohabitatmapperGenus': None, 'mosquitohabitatmapperWaterSource': 'pond', 'mosquitohabitatmapperMosquitoAdults': None, 'mosquitohabitatmapperSpecies': None, 'mosquitohabitatmapperComments': None, 'mosquitohabitatmapperMosquitoPupae': False, 'mosquitohabitatmapperWaterSourcePhotoUrls': 'https://data.globe.gov/system/photos/2020/06/24/1778660/original.jpg', 'mosquitohabitatmapperDataSource': 'GLOBE Observer App', 'mosquitohabitatmapperLarvaFullBodyPhotoUrls': None, 'mosquitohabitatmapperMeasurementLatitude': 28.6198, 'mosquitohabitatmapperLastIdentifyStage': 'identify', 'mosquitohabitatmapperWaterSourceType': 'still: lake/pond/swamp', 'mosquitohabitatmapperMosquitoHabitatMapperId': 24936, 'mosquitohabitatmapperMeasurementLongitude': -81.1758}",20.7,28.619109,-81.17595,2020-06-24,,True,,GLOBE Observer App,,,,,identify,2020-06-24T18:10:00,0,28.6198,-81.1758,,,,24936,False,,67207102,pond,https://data.globe.gov/system/photos/2020/06/24/1778660/original.jpg,still: lake/pond/swamp,17043304,United States of America Citizen Science,163819786,mosquito_habitat_mapper,2020-07-20T21:00:00,209881,17RMM828658,2020-07-20T20:55:02
1,,,2020-07-20T19:20:10,"{'mosquitohabitatmapperBreedingGroundEliminated': True, 'mosquitohabitatmapperExtraData': None, 'mosquitohabitatmapperAbdomenCloseupPhotoUrls': None, 'mosquitohabitatmapperMeasuredAt': '2020-06-28T15:00:00', 'mosquitohabitatmapperMeasurementElevation': 0, 'mosquitohabitatmapperUserid': 67207102, 'mosquitohabitatmapperLarvaeCount': None, 'mosquitohabitatmapperMosquitoEggs': None, 'mosquitohabitatmapperMosquitoEggCount': None, 'mosquitohabitatmapperGenus': None, 'mosquitohabitatmapperWaterSource': 'swamp or wetland', 'mosquitohabitatmapperMosquitoAdults': None, 'mosquitohabitatmapperSpecies': None, 'mosquitohabitatmapperComments': None, 'mosquitohabitatmapperMosquitoPupae': False, 'mosquitohabitatmapperWaterSourcePhotoUrls': 'https://data.globe.gov/system/photos/2020/06/28/1778666/original.jpg', 'mosquitohabitatmapperDataSource': 'GLOBE Observer App', 'mosquitohabitatmapperLarvaFullBodyPhotoUrls': None, 'mosquitohabitatmapperMeasurementLatitude': 28.6147, 'mosquitohabitatmapperLastIdentifyStage': 'identify', 'mosquitohabitatmapperWaterSourceType': 'still: lake/pond/swamp', 'mosquitohabitatmapperMosquitoHabitatMapperId': 24937, 'mosquitohabitatmapperMeasurementLongitude': -81.1711}",17.5,28.614601,-81.171851,2020-06-28,,True,,GLOBE Observer App,,,,,identify,2020-06-28T15:00:00,0,28.6147,-81.1711,,,,24937,False,,67207102,swamp or wetland,https://data.globe.gov/system/photos/2020/06/28/1778666/original.jpg,still: lake/pond/swamp,17043304,United States of America Citizen Science,163819791,mosquito_habitat_mapper,2020-07-20T21:20:29,209886,17RMM832653,2020-07-20T21:00:06
2,,,2020-07-20T19:20:15,"{'mosquitohabitatmapperBreedingGroundEliminated': True, 'mosquitohabitatmapperExtraData': None, 'mosquitohabitatmapperAbdomenCloseupPhotoUrls': None, 'mosquitohabitatmapperMeasuredAt': '2020-06-28T15:05:00', 'mosquitohabitatmapperMeasurementElevation': 0, 'mosquitohabitatmapperUserid': 67207102, 'mosquitohabitatmapperLarvaeCount': '1', 'mosquitohabitatmapperMosquitoEggs': True, 'mosquitohabitatmapperMosquitoEggCount': None, 'mosquitohabitatmapperGenus': None, 'mosquitohabitatmapperWaterSource': 'swamp or wetland', 'mosquitohabitatmapperMosquitoAdults': False, 'mosquitohabitatmapperSpecies': None, 'mosquitohabitatmapperComments': None, 'mosquitohabitatmapperMosquitoPupae': False, 'mosquitohabitatmapperWaterSourcePhotoUrls': 'https://data.globe.gov/system/photos/2020/06/28/1778667/original.jpg', 'mosquitohabitatmapperDataSource': 'GLOBE Observer App', 'mosquitohabitatmapperLarvaFullBodyPhotoUrls': None, 'mosquitohabitatmapperMeasurementLatitude': 28.6165, 'mosquitohabitatmapperLastIdentifyStage': 'identify', 'mosquitohabitatmapperWaterSourceType': 'still: lake/pond/swamp', 'mosquitohabitatmapperMosquitoHabitatMapperId': 24938, 'mosquitohabitatmapperMeasurementLongitude': -81.1692}",18.4,28.616409,-81.169808,2020-06-28,,True,,GLOBE Observer App,,,,1,identify,2020-06-28T15:05:00,0,28.6165,-81.1692,False,,True,24938,False,,67207102,swamp or wetland,https://data.globe.gov/system/photos/2020/06/28/1778667/original.jpg,still: lake/pond/swamp,17043304,United States of America Citizen Science,163819809,mosquito_habitat_mapper,2020-07-20T21:20:29,209887,17RMM834655,2020-07-20T21:00:03
3,,,2020-07-20T19:20:14,"{'mosquitohabitatmapperBreedingGroundEliminated': True, 'mosquitohabitatmapperExtraData': None, 'mosquitohabitatmapperAbdomenCloseupPhotoUrls': None, 'mosquitohabitatmapperMeasuredAt': '2020-06-28T15:39:00', 'mosquitohabitatmapperMeasurementElevation': 0, 'mosquitohabitatmapperUserid': 67207102, 'mosquitohabitatmapperLarvaeCount': None, 'mosquitohabitatmapperMosquitoEggs': None, 'mosquitohabitatmapperMosquitoEggCount': None, 'mosquitohabitatmapperGenus': None, 'mosquitohabitatmapperWaterSource': 'puddle or still water next to a creek, stream or river', 'mosquitohabitatmapperMosquitoAdults': None, 'mosquitohabitatmapperSpecies': None, 'mosquitohabitatmapperComments': None, 'mosquitohabitatmapperMosquitoPupae': False, 'mosquitohabitatmapperWaterSourcePhotoUrls': 'https://data.globe.gov/system/photos/2020/06/28/1778668/original.jpg', 'mosquitohabitatmapperDataSource': 'GLOBE Observer App', 'mosquitohabitatmapperLarvaFullBodyPhotoUrls': None, 'mosquitohabitatmapperMeasurementLatitude': 28.6123, 'mosquitohabitatmapperLastIdentifyStage': 'identify-later', 'mosquitohabitatmapperWaterSourceType': 'flowing: still water found next to river or stream', 'mosquitohabitatmapperMosquitoHabitatMapperId': 24939, 'mosquitohabitatmapperMeasurementLongitude': -81.1583}",14.2,28.611909,-81.158549,2020-06-28,,True,,GLOBE Observer App,,,,,identify-later,2020-06-28T15:39:00,0,28.6123,-81.1583,,,,24939,False,,67207102,"puddle or still water next to a creek, stream or river",https://data.globe.gov/system/photos/2020/06/28/1778668/original.jpg,flowing: still water found next to river or stream,17043304,United States of America Citizen Science,163819805,mosquito_habitat_mapper,2020-07-20T21:20:29,209888,17RMM845650,2020-07-20T21:00:02
0,,,2020-06-17T22:35:07,"{'mosquitohabitatmapperBreedingGroundEliminated': True, 'mosquitohabitatmapperExtraData': None, 'mosquitohabitatmapperAbdomenCloseupPhotoUrls': None, 'mosquitohabitatmapperMeasuredAt': '2020-06-08T15:49:00', 'mosquitohabitatmapperMeasurementElevation': 0, 'mosquitohabitatmapperUserid': 67152678, 'mosquitohabitatmapperLarvaeCount': '5', 'mosquitohabitatmapperMosquitoEggs': False, 'mosquitohabitatmapperMosquitoEggCount': None, 'mosquitohabitatmapperGenus': None, 'mosquitohabitatmapperWaterSource': 'puddle or still water next to a creek, stream or river', 'mosquitohabitatmapperMosquitoAdults': False, 'mosquitohabitatmapperSpecies': None, 'mosquitohabitatmapperComments': 'My microscope skills are bad, so I’ll try to identify some other samples later this week', 'mosquitohabitatmapperMosquitoPupae': False, 'mosquitohabitatmapperWaterSourcePhotoUrls': 'https://data.globe.gov/system/photos/2020/06/08/1695001/original.jpg', 'mosquitohabitatmapperDataSource': 'GLOBE Observer App', 'mosquitohabitatmapperLarvaFullBodyPhotoUrls': None, 'mosquitohabitatmapperMeasurementLatitude': 37.9508, 'mosquitohabitatmapperLastIdentifyStage': 'identify', 'mosquitohabitatmapperWaterSourceType': 'flowing: still water found next to river or stream', 'mosquitohabitatmapperMosquitoHabitatMapperId': 23317, 'mosquitohabitatmapperMeasurementLongitude': -84.5004}",271.0,37.950774,-84.50065,2020-06-08,,True,"My microscope skills are bad, so I’ll try to identify some other samples later this week",GLOBE Observer App,,,,5,identify,2020-06-08T15:49:00,0,37.9508,-84.5004,False,,False,23317,False,,67152678,"puddle or still water next to a creek, stream or river",https://data.globe.gov/system/photos/2020/06/08/1695001/original.jpg,flowing: still water found next to river or stream,17043304,United States of America Citizen Science,163691012,mosquito_habitat_mapper,2020-07-18T21:00:08,203725,16SGH196033,2020-06-18T15:25:08
1,,,2020-06-17T22:35:09,"{'mosquitohabitatmapperBreedingGroundEliminated': True, 'mosquitohabitatmapperExtraData': None, 'mosquitohabitatmapperAbdomenCloseupPhotoUrls': None, 'mosquitohabitatmapperMeasuredAt': '2020-06-14T14:24:00', 'mosquitohabitatmapperMeasurementElevation': 0, 'mosquitohabitatmapperUserid': 67152678, 'mosquitohabitatmapperLarvaeCount': '3', 'mosquitohabitatmapperMosquitoEggs': True, 'mosquitohabitatmapperMosquitoEggCount': None, 'mosquitohabitatmapperGenus': 'Anopheles', 'mosquitohabitatmapperWaterSource': 'discarded: other', 'mosquitohabitatmapperMosquitoAdults': False, 'mosquitohabitatmapperSpecies': None, 'mosquitohabitatmapperComments': 'There are also some pupae in the bucket, but not in my sample. Also, I’m traveling and forgot my microscope, so this was my best attempt at pictures.', 'mosquitohabitatmapperMosquitoPupae': False, 'mosquitohabitatmapperWaterSourcePhotoUrls': 'https://data.globe.gov/system/photos/2020/06/14/1695002/original.jpg; https://data.globe.gov/system/photos/2020/06/14/1695003/original.jpg', 'mosquitohabitatmapperDataSource': 'GLOBE Observer App', 'mosquitohabitatmapperLarvaFullBodyPhotoUrls': 'https://data.globe.gov/system/photos/2020/06/14/1695004/original.jpg', 'mosquitohabitatmapperMeasurementLatitude': 38.3325, 'mosquitohabitatmapperLastIdentifyStage': 'identify-no-siphon', 'mosquitohabitatmapperWaterSourceType': 'container: artificial', 'mosquitohabitatmapperMosquitoHabitatMapperId': 23318, 'mosquitohabitatmapperMeasurementLongitude': -82.9628}",202.1,38.332216,-82.963302,2020-06-14,,True,"There are also some pupae in the bucket, but not in my sample. Also, I’m traveling and forgot my microscope, so this was my best attempt at pictures.",GLOBE Observer App,,Anopheles,https://data.globe.gov/system/photos/2020/06/14/1695004/original.jpg,3,identify-no-siphon,2020-06-14T14:24:00,0,38.3325,-82.9628,False,,True,23318,False,,67152678,discarded: other,https://data.globe.gov/system/photos/2020/06/14/1695002/original.jpg; https://data.globe.gov/system/photos/2020/06/14/1695003/original.jpg,container: artificial,17043304,United States of America Citizen Science,163691014,mosquito_habitat_mapper,2020-07-18T21:00:08,203726,17SLC284445,2020-06-18T15:25:12
2,,,2020-07-05T18:15:02,"{'mosquitohabitatmapperBreedingGroundEliminated': True, 'mosquitohabitatmapperExtraData': None, 'mosquitohabitatmapperAbdomenCloseupPhotoUrls': None, 'mosquitohabitatmapperMeasuredAt': '2020-07-05T15:18:00', 'mosquitohabitatmapperMeasurementElevation': 0, 'mosquitohabitatmapperUserid': 67152678, 'mosquitohabitatmapperLarvaeCount': '6', 'mosquitohabitatmapperMosquitoEggs': True, 'mosquitohabitatmapperMosquitoEggCount': None, 'mosquitohabitatmapperGenus': None, 'mosquitohabitatmapperWaterSource': 'animal trough or water bowl', 'mosquitohabitatmapperMosquitoAdults': False, 'mosquitohabitatmapperSpecies': None, 'mosquitohabitatmapperComments': None, 'mosquitohabitatmapperMosquitoPupae': True, 'mosquitohabitatmapperWaterSourcePhotoUrls': 'https://data.globe.gov/system/photos/2020/07/05/1737185/original.jpg', 'mosquitohabitatmapperDataSource': 'GLOBE Observer App', 'mosquitohabitatmapperLarvaFullBodyPhotoUrls': 'https://data.globe.gov/system/photos/2020/07/05/1737186/original.jpg', 'mosquitohabitatmapperMeasurementLatitude': 38.3327, 'mosquitohabitatmapperLastIdentifyStage': 'identify-later', 'mosquitohabitatmapperWaterSourceType': 'container: artificial', 'mosquitohabitatmapperMosquitoHabitatMapperId': 24226, 'mosquitohabitatmapperMeasurementLongitude': -82.9626}",202.1,38.332216,-82.963302,2020-07-05,,True,,GLOBE Observer App,,,https://data.globe.gov/system/photos/2020/07/05/1737186/original.jpg,6,identify-later,2020-07-05T15:18:00,0,38.3327,-82.9626,False,,True,24226,True,,67152678,animal trough or water bowl,https://data.globe.gov/system/photos/2020/07/05/1737185/original.jpg,container: artificial,17043304,United States of America Citizen Science,163765018,mosquito_habitat_mapper,2020-07-18T21:00:08,203726,17SLC284445,2020-07-06T00:25:26
3,,,2020-07-05T18:15:02,"{'mosquitohabitatmapperBreedingGroundEliminated': True, 'mosquitohabitatmapperExtraData': None, 'mosquitohabitatmapperAbdomenCloseupPhotoUrls': None, 'mosquitohabitatmapperMeasuredAt': '2020-07-05T15:30:00', 'mosquitohabitatmapperMeasurementElevation': 0, 'mosquitohabitatmapperUserid': 67152678, 'mosquitohabitatmapperLarvaeCount': '2', 'mosquitohabitatmapperMosquitoEggs': False, 'mosquitohabitatmapperMosquitoEggCount': None, 'mosquitohabitatmapperGenus': 'Anopheles', 'mosquitohabitatmapperWaterSource': 'discarded: other', 'mosquitohabitatmapperMosquitoAdults': False, 'mosquitohabitatmapperSpecies': None, 'mosquitohabitatmapperComments': 'All of the larva are already dead', 'mosquitohabitatmapperMosquitoPupae': False, 'mosquitohabitatmapperWaterSourcePhotoUrls': 'https://data.globe.gov/system/photos/2020/07/05/1737191/original.jpg', 'mosquitohabitatmapperDataSource': 'GLOBE Observer App', 'mosquitohabitatmapperLarvaFullBodyPhotoUrls': 'https://data.globe.gov/system/photos/2020/07/05/1737192/original.jpg; https://data.globe.gov/system/photos/2020/07/05/1737193/original.jpg', 'mosquitohabitatmapperMeasurementLatitude': 38.3326, 'mosquitohabitatmapperLastIdentifyStage': 'identify-no-siphon', 'mosquitohabitatmapperWaterSourceType': 'container: artificial', 'mosquitohabitatmapperMosquitoHabitatMapperId': 24228, 'mosquitohabitatmapperMeasurementLongitude': -82.9626}",202.1,38.332216,-82.963302,2020-07-05,,True,All of the larva are already dead,GLOBE Observer App,,Anopheles,https://data.globe.gov/system/photos/2020/07/05/1737192/original.jpg; https://data.globe.gov/system/photos/2020/07/05/1737193/original.jpg,2,identify-no-siphon,2020-07-05T15:30:00,0,38.3326,-82.9626,False,,False,24228,False,,67152678,discarded: other,https://data.globe.gov/system/photos/2020/07/05/1737191/original.jpg,container: artificial,17043304,United States of America Citizen Science,163765018,mosquito_habitat_mapper,2020-07-18T21:00:08,203726,17SLC284445,2020-07-06T00:25:26
4,,,2020-07-05T18:15:02,"{'mosquitohabitatmapperBreedingGroundEliminated': True, 'mosquitohabitatmapperExtraData': None, 'mosquitohabitatmapperAbdomenCloseupPhotoUrls': None, 'mosquitohabitatmapperMeasuredAt': '2020-07-05T15:28:00', 'mosquitohabitatmapperMeasurementElevation': 0, 'mosquitohabitatmapperUserid': 67152678, 'mosquitohabitatmapperLarvaeCount': '4', 'mosquitohabitatmapperMosquitoEggs': False, 'mosquitohabitatmapperMosquitoEggCount': None, 'mosquitohabitatmapperGenus': None, 'mosquitohabitatmapperWaterSource': 'animal trough or water bowl', 'mosquitohabitatmapperMosquitoAdults': False, 'mosquitohabitatmapperSpecies': None, 'mosquitohabitatmapperComments': None, 'mosquitohabitatmapperMosquitoPupae': False, 'mosquitohabitatmapperWaterSourcePhotoUrls': 'https://data.globe.gov/system/photos/2020/07/05/1737187/original.jpg', 'mosquitohabitatmapperDataSource': 'GLOBE Observer App', 'mosquitohabitatmapperLarvaFullBodyPhotoUrls': 'https://data.globe.gov/system/photos/2020/07/05/1737188/original.jpg; https://data.globe.gov/system/photos/2020/07/05/1737189/original.jpg; https://data.globe.gov/system/photos/2020/07/05/1737190/original.jpg', 'mosquitohabitatmapperMeasurementLatitude': 38.3325, 'mosquitohabitatmapperLastIdentifyStage': 'identify-siphon-pecten', 'mosquitohabitatmapperWaterSourceType': 'container: artificial', 'mosquitohabitatmapperMosquitoHabitatMapperId': 24227, 'mosquitohabitatmapperMeasurementLongitude': -82.9626}",202.1,38.332216,-82.963302,2020-07-05,,True,,GLOBE Observer App,,,https://data.globe.gov/system/photos/2020/07/05/1737188/original.jpg; https://data.globe.gov/system/photos/2020/07/05/1737189/original.jpg; https://data.globe.gov/system/photos/2020/07/05/1737190/original.jpg,4,identify-siphon-pecten,2020-07-05T15:28:00,0,38.3325,-82.9626,False,,False,24227,False,,67152678,animal trough or water bowl,https://data.globe.gov/system/photos/2020/07/05/1737187/original.jpg,container: artificial,17043304,United States of America Citizen Science,163765018,mosquito_habitat_mapper,2020-07-18T21:00:08,203726,17SLC284445,2020-07-06T00:25:26
5,,,2020-07-05T18:15:02,"{'mosquitohabitatmapperBreedingGroundEliminated': True, 'mosquitohabitatmapperExtraData': None, 'mosquitohabitatmapperAbdomenCloseupPhotoUrls': None, 'mosquitohabitatmapperMeasuredAt': '2020-07-05T15:34:00', 'mosquitohabitatmapperMeasurementElevation': 0, 'mosquitohabitatmapperUserid': 67152678, 'mosquitohabitatmapperLarvaeCount': '0', 'mosquitohabitatmapperMosquitoEggs': True, 'mosquitohabitatmapperMosquitoEggCount': None, 'mosquitohabitatmapperGenus': None, 'mosquitohabitatmapperWaterSource': 'animal trough or water bowl', 'mosquitohabitatmapperMosquitoAdults': False, 'mosquitohabitatmapperSpecies': None, 'mosquitohabitatmapperComments': 'Only eggs as of now', 'mosquitohabitatmapperMosquitoPupae': False, 'mosquitohabitatmapperWaterSourcePhotoUrls': 'https://data.globe.gov/system/photos/2020/07/05/1737194/original.jpg', 'mosquitohabitatmapperDataSource': 'GLOBE Observer App', 'mosquitohabitatmapperLarvaFullBodyPhotoUrls': None, 'mosquitohabitatmapperMeasurementLatitude': 38.3326, 'mosquitohabitatmapperLastIdentifyStage': 'identify', 'mosquitohabitatmapperWaterSourceType': 'container: artificial', 'mosquitohabitatmapperMosquitoHabitatMapperId': 24229, 'mosquitohabitatmapperMeasurementLongitude': -82.9626}",202.1,38.332216,-82.963302,2020-07-05,,True,Only eggs as of now,GLOBE Observer App,,,,0,identify,2020-07-05T15:34:00,0,38.3326,-82.9626,False,,True,24229,False,,67152678,animal trough or water bowl,https://data.globe.gov/system/photos/2020/07/05/1737194/original.jpg,container: artificial,17043304,United States of America Citizen Science,163765018,mosquito_habitat_mapper,2020-07-18T21:00:08,203726,17SLC284445,2020-07-06T00:25:26
